iri	vocabulary
https://saref.etsi.org/saref4wear/Wearer	SAREF4WEAR
https://saref.etsi.org/saref4wear/WearerProperty	SAREF4WEAR
http://www.w3.org/ns/sosa/ActuatableProperty	W3C SOSA
http://www.w3.org/ns/sosa/Actuation	W3C SOSA
http://www.w3.org/ns/sosa/Actuator	W3C SOSA
http://www.w3.org/ns/sosa/FeatureOfInterest	W3C SOSA
http://www.w3.org/ns/sosa/ObservableProperty	W3C SOSA
http://www.w3.org/ns/sosa/Observation	W3C SOSA
http://www.w3.org/ns/sosa/Platform	W3C SOSA
http://www.w3.org/ns/sosa/Procedure	W3C SOSA
http://www.w3.org/ns/sosa/Result	W3C SOSA
http://www.w3.org/ns/sosa/Sample	W3C SOSA
http://www.w3.org/ns/sosa/Sampler	W3C SOSA
